"","experimentPhase","trialnum","subject","task","noisePercent","targetLeftRightIfOne","answerPos0","answer0","response0","correct0","responsePosRelative0","answerPos1","answer1","response1","correct1","responsePosRelative1","timingBlips"
"1","main",0,"yxuuh cnbc","T1",1,"left",15,"G","B",0,1,NA,"NaN","NaN",NA,NA,0
"2","main",1,"yxuuh cnbc","T1",1,"left",11,"Y","Z",0,1,NA,"NaN","NaN",NA,NA,0
"3","main",2,"yxuuh cnbc","T1",1,"right",9,"P","A",0,1,NA,"NaN","NaN",NA,NA,0
"4","main",3,"yxuuh cnbc","T1T2",1,"right",13,"S","S",1,0,13,"A","K",0,-6,0
"5","main",4,"yxuuh cnbc","T1",1,"left",17,"M","W",0,-1,NA,"NaN","NaN",NA,NA,0
"6","main",5,"yxuuh cnbc","T1T2",1,"right",9,"D","W",0,1,9,"Z","W",0,-1,0
"7","main",6,"yxuuh cnbc","T1T2",1,"right",11,"G","P",0,1,11,"I","I",1,0,0
"8","main",7,"yxuuh cnbc","T1T2",1,"right",13,"L","M",0,-1,13,"G","X",0,1,0
"9","main",8,"yxuuh cnbc","T1",1,"right",7,"F","F",1,0,NA,"NaN","NaN",NA,NA,0
"10","main",9,"yxuuh cnbc","T1",1,"right",13,"P","P",1,0,NA,"NaN","NaN",NA,NA,0
"11","main",10,"yxuuh cnbc","T1",1,"right",15,"Q","P",0,7,NA,"NaN","NaN",NA,NA,0
"12","main",11,"yxuuh cnbc","T1",1,"left",7,"P","P",1,0,NA,"NaN","NaN",NA,NA,0
"13","main",12,"yxuuh cnbc","T1T2",1,"left",7,"Y","D",0,1,7,"E","X",0,-6,0
"14","main",13,"yxuuh cnbc","T1",1,"right",13,"H","W",0,-1,NA,"NaN","NaN",NA,NA,0
"15","main",14,"yxuuh cnbc","T1T2",1,"right",7,"F","U",0,6,7,"R","F",0,14,0
"16","main",15,"yxuuh cnbc","T1T2",1,"right",17,"C","C",1,0,17,"Z","Z",1,0,0
"17","main",16,"yxuuh cnbc","T1",1,"right",9,"Y","M",0,1,NA,"NaN","NaN",NA,NA,0
"18","main",17,"yxuuh cnbc","T1T2",1,"right",15,"R","K",0,-11,15,"A","R",0,4,0
"19","main",18,"yxuuh cnbc","T1",1,"right",17,"E","E",1,0,NA,"NaN","NaN",NA,NA,0
"20","main",19,"yxuuh cnbc","T1T2",1,"left",15,"U","A",0,1,15,"Y","Z",0,1,0
"21","main",20,"yxuuh cnbc","T1",1,"left",9,"P","B",0,-3,NA,"NaN","NaN",NA,NA,0
"22","main",21,"yxuuh cnbc","T1T2",1,"right",15,"A","A",1,0,15,"S","P",0,1,0
"23","main",22,"yxuuh cnbc","T1T2",1,"left",9,"M","M",1,0,9,"S","S",1,0,0
"24","main",23,"yxuuh cnbc","T1T2",1,"left",17,"L","M",0,-5,17,"P","K",0,-12,0
"25","main",24,"yxuuh cnbc","T1T2",1,"right",9,"D","V",0,14,9,"E","M",0,10,0
"26","main",25,"yxuuh cnbc","T1",1,"left",7,"N","F",0,1,NA,"NaN","NaN",NA,NA,0
"27","main",26,"yxuuh cnbc","T1T2",1,"left",15,"L","S",0,-1,15,"E","L",0,-12,0
"28","main",27,"yxuuh cnbc","T1",1,"right",11,"X","X",1,0,NA,"NaN","NaN",NA,NA,0
"29","main",28,"yxuuh cnbc","T1",1,"left",13,"P","P",1,0,NA,"NaN","NaN",NA,NA,0
"30","main",29,"yxuuh cnbc","T1",1,"left",17,"L","P",0,1,NA,"NaN","NaN",NA,NA,0
"31","main",30,"yxuuh cnbc","T1",1,"left",11,"U","P",0,1,NA,"NaN","NaN",NA,NA,0
"32","main",31,"yxuuh cnbc","T1T2",1,"left",17,"N","X",0,1,17,"T","F",0,-4,0
"33","main",32,"yxuuh cnbc","T1",1,"left",13,"I","P",0,1,NA,"NaN","NaN",NA,NA,0
"34","main",33,"yxuuh cnbc","T1",1,"right",7,"O","O",1,0,NA,"NaN","NaN",NA,NA,0
"35","main",34,"yxuuh cnbc","T1T2",1,"right",7,"L","M",0,-1,7,"B","B",1,0,0
"36","main",35,"yxuuh cnbc","T1T2",1,"left",11,"B","M",0,5,11,"W","B",0,-9,0
"37","main",36,"yxuuh cnbc","T1T2",1,"right",11,"T","X",0,2,11,"Z","C",0,11,0
"38","main",37,"yxuuh cnbc","T1",1,"left",15,"R","R",1,0,NA,"NaN","NaN",NA,NA,0
"39","main",38,"yxuuh cnbc","T1T2",1,"left",7,"S","X",0,13,7,"E","S",0,11,0
"40","main",39,"yxuuh cnbc","T1",1,"right",15,"N","X",0,-1,NA,"NaN","NaN",NA,NA,0
"41","main",40,"yxuuh cnbc","T1",1,"left",9,"L","A",0,1,NA,"NaN","NaN",NA,NA,0
"42","main",41,"yxuuh cnbc","T1T2",1,"right",17,"S","S",1,0,17,"X","W",0,-1,0
"43","main",42,"yxuuh cnbc","T1T2",1,"left",9,"M","Q",0,8,9,"Q","M",0,6,0
"44","main",43,"yxuuh cnbc","T1T2",1,"left",13,"H","W",0,3,13,"I","H",0,2,0
"45","main",44,"yxuuh cnbc","T1",1,"right",11,"N","W",0,-6,NA,"NaN","NaN",NA,NA,0
"46","main",45,"yxuuh cnbc","T1",1,"right",17,"I","I",1,0,NA,"NaN","NaN",NA,NA,0
"47","main",46,"yxuuh cnbc","T1T2",1,"left",11,"D","C",0,1,11,"A","A",1,0,0
"48","main",47,"yxuuh cnbc","T1T2",1,"left",13,"W","W",1,0,13,"U","U",1,0,0
"49","main",48,"yxuuh cnbc","T1T2",1,"right",15,"Y","P",0,-10,15,"T","T",1,0,0
"50","main",49,"yxuuh cnbc","T1T2",1,"left",7,"Q","B",0,2,7,"L","X",0,12,0
"51","main",50,"yxuuh cnbc","T1T2",1,"right",17,"N","M",0,3,17,"W","W",1,0,0
"52","main",51,"yxuuh cnbc","T1T2",1,"right",9,"U","P",0,-6,9,"W","U",0,15,0
"53","main",52,"yxuuh cnbc","T1",1,"left",7,"X","M",0,13,NA,"NaN","NaN",NA,NA,0
"54","main",53,"yxuuh cnbc","T1",1,"right",17,"K","K",1,0,NA,"NaN","NaN",NA,NA,0
"55","main",54,"yxuuh cnbc","T1T2",1,"right",7,"U","B",0,1,7,"G","U",0,4,0
"56","main",55,"yxuuh cnbc","T1",1,"right",13,"Q","Q",1,0,NA,"NaN","NaN",NA,NA,1
"57","main",56,"yxuuh cnbc","T1T2",1,"right",15,"U","X",0,1,15,"P","P",1,0,0
"58","main",57,"yxuuh cnbc","T1T2",1,"left",15,"U","U",1,0,15,"Q","P",0,-1,0
"59","main",58,"yxuuh cnbc","T1T2",1,"left",11,"T","X",0,-10,11,"X","B",0,13,0
"60","main",59,"yxuuh cnbc","T1",1,"right",9,"C","C",1,0,NA,"NaN","NaN",NA,NA,0
"61","main",60,"yxuuh cnbc","T1",1,"right",11,"N","X",0,2,NA,"NaN","NaN",NA,NA,0
"62","main",61,"yxuuh cnbc","T1",1,"right",17,"D","D",1,0,NA,"NaN","NaN",NA,NA,0
"63","main",62,"yxuuh cnbc","T1T2",1,"right",13,"E","E",1,0,13,"B","B",1,0,0
"64","main",63,"yxuuh cnbc","T1T2",1,"right",13,"B","N",0,10,13,"M","B",0,-3,0
"65","main",64,"yxuuh cnbc","T1T2",1,"left",13,"B","Q",0,-2,13,"O","B",0,7,0
"66","main",65,"yxuuh cnbc","T1",1,"left",11,"B","B",1,0,NA,"NaN","NaN",NA,NA,0
"67","main",66,"yxuuh cnbc","T1T2",1,"left",7,"E","M",0,2,7,"M","W",0,1,0
"68","main",67,"yxuuh cnbc","T1",1,"left",7,"R","R",1,0,NA,"NaN","NaN",NA,NA,0
"69","main",68,"yxuuh cnbc","T1",1,"right",15,"C","O",0,-10,NA,"NaN","NaN",NA,NA,0
"70","main",69,"yxuuh cnbc","T1T2",1,"right",7,"E","M",0,15,7,"H","R",0,12,0
"71","main",70,"yxuuh cnbc","T1",1,"right",11,"E","E",1,0,NA,"NaN","NaN",NA,NA,0
"72","main",71,"yxuuh cnbc","T1",1,"left",13,"Y","M",0,1,NA,"NaN","NaN",NA,NA,0
"73","main",72,"yxuuh cnbc","T1",1,"right",9,"Q","Q",1,0,NA,"NaN","NaN",NA,NA,0
"74","main",73,"yxuuh cnbc","T1",1,"left",17,"I","H",0,-4,NA,"NaN","NaN",NA,NA,0
"75","main",74,"yxuuh cnbc","T1T2",1,"left",15,"T","V",0,-11,15,"V","U",0,-15,0
"76","main",75,"yxuuh cnbc","T1T2",1,"right",17,"Z","B",0,1,17,"L","X",0,-8,0
"77","main",76,"yxuuh cnbc","T1",1,"left",9,"G","G",1,0,NA,"NaN","NaN",NA,NA,0
"78","main",77,"yxuuh cnbc","T1",1,"left",15,"O","D",0,-4,NA,"NaN","NaN",NA,NA,0
"79","main",78,"yxuuh cnbc","T1T2",1,"right",11,"S","S",1,0,11,"C","K",0,-4,0
"80","main",79,"yxuuh cnbc","T1T2",1,"left",9,"J","W",0,-4,9,"K","S",0,9,0
"81","main",80,"yxuuh cnbc","T1",1,"right",7,"A","A",1,0,NA,"NaN","NaN",NA,NA,0
"82","main",81,"yxuuh cnbc","T1",1,"right",13,"B","M",0,-2,NA,"NaN","NaN",NA,NA,0
"83","main",82,"yxuuh cnbc","T1",1,"left",15,"X","X",1,0,NA,"NaN","NaN",NA,NA,0
"84","main",83,"yxuuh cnbc","T1",1,"right",15,"B","X",0,-14,NA,"NaN","NaN",NA,NA,0
"85","main",84,"yxuuh cnbc","T1",1,"right",7,"C","U",0,2,NA,"NaN","NaN",NA,NA,0
"86","main",85,"yxuuh cnbc","T1T2",1,"left",9,"M","M",1,0,9,"U","J",0,3,0
"87","main",86,"yxuuh cnbc","T1T2",1,"left",13,"N","P",0,1,13,"A","W",0,-1,0
"88","main",87,"yxuuh cnbc","T1",1,"left",11,"U","J",0,4,NA,"NaN","NaN",NA,NA,0
"89","main",88,"yxuuh cnbc","T1T2",1,"left",11,"C","C",1,0,11,"O","W",0,1,0
"90","main",89,"yxuuh cnbc","T1T2",1,"right",11,"F","Z",0,1,11,"A","A",1,0,0
"91","main",90,"yxuuh cnbc","T1",1,"left",13,"X","Q",0,-7,NA,"NaN","NaN",NA,NA,0
"92","main",91,"yxuuh cnbc","T1T2",1,"left",17,"B","P",0,-1,17,"O","D",0,1,0
"93","main",92,"yxuuh cnbc","T1T2",1,"right",9,"I","K",0,1,9,"L","Q",0,6,0
"94","main",93,"yxuuh cnbc","T1",1,"left",9,"Q","Q",1,0,NA,"NaN","NaN",NA,NA,0
"95","main",94,"yxuuh cnbc","T1T2",1,"left",17,"R","R",1,0,17,"Q","Q",1,0,0
"96","main",95,"yxuuh cnbc","T1",1,"left",17,"W","W",1,0,NA,"NaN","NaN",NA,NA,0
"97","main",96,"yxuuh cnbc","T1T2",1,"left",9,"T","K",0,1,9,"F","J",0,-9,0
"98","main",97,"yxuuh cnbc","T1T2",1,"left",11,"D","D",1,0,11,"E","X",0,7,0
"99","main",98,"yxuuh cnbc","T1T2",1,"left",9,"Y","A",0,-7,9,"A","L",0,15,0
"100","main",99,"yxuuh cnbc","T1T2",1,"right",17,"F","H",0,-1,17,"M","M",1,0,0
"101","main",100,"yxuuh cnbc","T1",1,"left",11,"T","H",0,13,NA,"NaN","NaN",NA,NA,0
"102","main",101,"yxuuh cnbc","T1",1,"right",7,"X","M",0,15,NA,"NaN","NaN",NA,NA,0
"103","main",102,"yxuuh cnbc","T1",1,"left",9,"A","A",1,0,NA,"NaN","NaN",NA,NA,0
"104","main",103,"yxuuh cnbc","T1",1,"right",17,"K","X",0,-12,NA,"NaN","NaN",NA,NA,0
"105","main",104,"yxuuh cnbc","T1T2",1,"right",17,"A","O",0,4,17,"B","O",0,-4,0
"106","main",105,"yxuuh cnbc","T1T2",1,"left",13,"W","M",0,-13,13,"Z","Z",1,0,0
"107","main",106,"yxuuh cnbc","T1",1,"left",17,"L","X",0,8,NA,"NaN","NaN",NA,NA,0
"108","main",107,"yxuuh cnbc","T1T2",1,"right",11,"K","M",0,2,11,"Q","K",0,-1,0
"109","main",108,"yxuuh cnbc","T1T2",1,"left",17,"O","P",0,-5,17,"P","D",0,1,0
"110","main",109,"yxuuh cnbc","T1T2",1,"left",11,"F","T",0,-9,11,"I","V",0,-3,0
"111","main",110,"yxuuh cnbc","T1T2",1,"left",15,"L","L",1,0,15,"R","J",0,-7,0
"112","main",111,"yxuuh cnbc","T1",1,"left",7,"M","W",0,-7,NA,"NaN","NaN",NA,NA,0
"113","main",112,"yxuuh cnbc","T1",1,"right",13,"Y","S",0,-12,NA,"NaN","NaN",NA,NA,0
"114","main",113,"yxuuh cnbc","T1",1,"left",17,"D","D",1,0,NA,"NaN","NaN",NA,NA,0
"115","main",114,"yxuuh cnbc","T1T2",1,"left",15,"M","R",0,8,15,"D","W",0,3,0
"116","main",115,"yxuuh cnbc","T1",1,"right",9,"O","Y",0,1,NA,"NaN","NaN",NA,NA,0
"117","main",116,"yxuuh cnbc","T1",1,"right",7,"U","T",0,1,NA,"NaN","NaN",NA,NA,0
"118","main",117,"yxuuh cnbc","T1",1,"right",9,"K","U",0,15,NA,"NaN","NaN",NA,NA,0
"119","main",118,"yxuuh cnbc","T1",1,"left",13,"L","M",0,1,NA,"NaN","NaN",NA,NA,0
"120","main",119,"yxuuh cnbc","T1",1,"right",15,"V","M",0,8,NA,"NaN","NaN",NA,NA,0
"121","main",120,"yxuuh cnbc","T1",1,"right",17,"G","D",0,8,NA,"NaN","NaN",NA,NA,0
"122","main",121,"yxuuh cnbc","T1T2",1,"right",15,"B","K",0,-4,15,"J","Q",0,-8,0
"123","main",122,"yxuuh cnbc","T1",1,"left",13,"M","P",0,5,NA,"NaN","NaN",NA,NA,0
"124","main",123,"yxuuh cnbc","T1T2",1,"left",13,"C","G",0,-10,13,"G","C",0,10,0
"125","main",124,"yxuuh cnbc","T1T2",1,"right",7,"W","T",0,9,7,"O","K",0,8,0
"126","main",125,"yxuuh cnbc","T1T2",1,"right",9,"V","H",0,-5,9,"D","K",0,7,0
"127","main",126,"yxuuh cnbc","T1",1,"right",11,"P","K",0,6,NA,"NaN","NaN",NA,NA,0
"128","main",127,"yxuuh cnbc","T1T2",1,"left",17,"L","X",0,1,17,"B","A",0,1,0
"129","main",128,"yxuuh cnbc","T1",1,"left",15,"A","K",0,-5,NA,"NaN","NaN",NA,NA,0
"130","main",129,"yxuuh cnbc","T1",1,"right",15,"L","J",0,8,NA,"NaN","NaN",NA,NA,0
"131","main",130,"yxuuh cnbc","T1",1,"left",15,"Z","M",0,-11,NA,"NaN","NaN",NA,NA,0
"132","main",131,"yxuuh cnbc","T1",1,"right",13,"G","J",0,-12,NA,"NaN","NaN",NA,NA,0
"133","main",132,"yxuuh cnbc","T1T2",1,"left",7,"S","F",0,2,7,"D","L",0,-1,0
"134","main",133,"yxuuh cnbc","T1T2",1,"left",7,"D","O",0,-6,7,"E","T",0,-5,0
"135","main",134,"yxuuh cnbc","T1T2",1,"right",13,"Z","O",0,5,13,"U","R",0,10,0
"136","main",135,"yxuuh cnbc","T1T2",1,"right",11,"R","F",0,-1,11,"U","R",0,7,0
"137","main",136,"yxuuh cnbc","T1T2",1,"right",9,"V","M",0,10,9,"A","Q",0,-5,0
"138","main",137,"yxuuh cnbc","T1T2",1,"right",13,"K","K",1,0,13,"W","R",0,4,0
"139","main",138,"yxuuh cnbc","T1T2",1,"right",7,"N","M",0,9,7,"Z","E",0,-1,0
"140","main",139,"yxuuh cnbc","T1",1,"left",9,"N","O",0,8,NA,"NaN","NaN",NA,NA,0
"141","main",140,"yxuuh cnbc","T1",1,"left",11,"Z","Q",0,13,NA,"NaN","NaN",NA,NA,0
"142","main",141,"yxuuh cnbc","T1",1,"left",7,"G","U",0,-2,NA,"NaN","NaN",NA,NA,0
"143","main",142,"yxuuh cnbc","T1T2",1,"right",15,"O","K",0,-12,15,"C","M",0,-14,0
"144","main",143,"yxuuh cnbc","T1",1,"right",11,"F","R",0,1,NA,"NaN","NaN",NA,NA,0
"145","main",144,"yxuuh cnbc","T1T2",1,"right",17,"B","P",0,-6,17,"O","B",0,-7,0
"146","main",145,"yxuuh cnbc","T1",1,"left",13,"I","K",0,1,NA,"NaN","NaN",NA,NA,0
"147","main",146,"yxuuh cnbc","T1",1,"right",11,"Q","W",0,-2,NA,"NaN","NaN",NA,NA,0
"148","main",147,"yxuuh cnbc","T1",1,"left",9,"R","O",0,-2,NA,"NaN","NaN",NA,NA,0
"149","main",148,"yxuuh cnbc","T1",1,"left",11,"A","F",0,-7,NA,"NaN","NaN",NA,NA,0
"150","main",149,"yxuuh cnbc","T1T2",1,"right",17,"Z","R",0,1,17,"E","S",0,1,0
"151","main",150,"yxuuh cnbc","T1",1,"right",13,"K","Q",0,6,NA,"NaN","NaN",NA,NA,0
"152","main",151,"yxuuh cnbc","T1T2",1,"left",9,"C","C",1,0,9,"U","J",0,-2,0
"153","main",152,"yxuuh cnbc","T1T2",1,"right",13,"W","M",0,-6,13,"U","J",0,1,0
"154","main",153,"yxuuh cnbc","T1T2",1,"left",13,"E","R",0,3,13,"N","D",0,-10,0
"155","main",154,"yxuuh cnbc","T1",1,"left",17,"S","M",0,-4,NA,"NaN","NaN",NA,NA,0
"156","main",155,"yxuuh cnbc","T1T2",1,"right",11,"B","X",0,-3,11,"D","D",1,0,0
"157","main",156,"yxuuh cnbc","T1",1,"right",17,"H","O",0,2,NA,"NaN","NaN",NA,NA,0
"158","main",157,"yxuuh cnbc","T1T2",1,"left",17,"P","P",1,0,17,"V","M",0,-11,0
"159","main",158,"yxuuh cnbc","T1T2",1,"right",7,"H","M",0,15,7,"A","N",0,11,0
"160","main",159,"yxuuh cnbc","T1",1,"left",15,"J","T",0,-6,NA,"NaN","NaN",NA,NA,0
"161","main",160,"yxuuh cnbc","T1",1,"right",11,"B","B",1,0,NA,"NaN","NaN",NA,NA,0
"162","main",161,"yxuuh cnbc","T1",1,"right",15,"K","N",0,10,NA,"NaN","NaN",NA,NA,0
"163","main",162,"yxuuh cnbc","T1T2",1,"right",7,"L","M",0,2,7,"M","K",0,-7,0
"164","main",163,"yxuuh cnbc","T1T2",1,"right",9,"A","X",0,-4,9,"T","A",0,4,0
"165","main",164,"yxuuh cnbc","T1T2",1,"left",15,"T","I",0,-1,15,"F","J",0,-3,0
"166","main",165,"yxuuh cnbc","T1",1,"left",17,"M","M",1,0,NA,"NaN","NaN",NA,NA,0
"167","main",166,"yxuuh cnbc","T1T2",1,"right",9,"Y","F",0,-9,9,"G","O",0,8,0
"168","main",167,"yxuuh cnbc","T1",1,"right",7,"X","M",0,16,NA,"NaN","NaN",NA,NA,0
"169","main",168,"yxuuh cnbc","T1",1,"left",15,"T","T",1,0,NA,"NaN","NaN",NA,NA,0
"170","main",169,"yxuuh cnbc","T1",1,"right",13,"C","C",1,0,NA,"NaN","NaN",NA,NA,0
"171","main",170,"yxuuh cnbc","T1",1,"right",7,"J","J",1,0,NA,"NaN","NaN",NA,NA,0
"172","main",171,"yxuuh cnbc","T1T2",1,"left",7,"E","N",0,7,7,"L","E",0,-1,0
"173","main",172,"yxuuh cnbc","T1",1,"right",9,"Z","M",0,1,NA,"NaN","NaN",NA,NA,0
"174","main",173,"yxuuh cnbc","T1",1,"left",7,"D","B",0,1,NA,"NaN","NaN",NA,NA,0
"175","main",174,"yxuuh cnbc","T1T2",1,"left",13,"O","Q",0,1,13,"L","L",1,0,0
"176","main",175,"yxuuh cnbc","T1T2",1,"right",15,"V","X",0,5,15,"X","M",0,-3,0
"177","main",176,"yxuuh cnbc","T1T2",1,"right",13,"G","U",0,2,13,"C","C",1,0,0
"178","main",177,"yxuuh cnbc","T1T2",1,"left",11,"U","J",0,1,11,"L","U",0,-10,0
"179","main",178,"yxuuh cnbc","T1",1,"right",17,"N","M",0,2,NA,"NaN","NaN",NA,NA,0
"180","main",179,"yxuuh cnbc","T1T2",1,"left",9,"B","F",0,-8,9,"P","B",0,-3,0
"181","main",180,"yxuuh cnbc","T1T2",1,"right",15,"Z","X",0,-8,15,"C","Z",0,-3,0
"182","main",181,"yxuuh cnbc","T1",1,"left",7,"U","C",0,9,NA,"NaN","NaN",NA,NA,0
"183","main",182,"yxuuh cnbc","T1",1,"left",11,"J","C",0,-1,NA,"NaN","NaN",NA,NA,0
"184","main",183,"yxuuh cnbc","T1",1,"right",15,"J","Y",0,1,NA,"NaN","NaN",NA,NA,0
"185","main",184,"yxuuh cnbc","T1T2",1,"right",11,"U","M",0,-9,11,"O","X",0,1,0
"186","main",185,"yxuuh cnbc","T1",1,"left",13,"C","C",1,0,NA,"NaN","NaN",NA,NA,0
"187","main",186,"yxuuh cnbc","T1",1,"right",9,"H","M",0,-4,NA,"NaN","NaN",NA,NA,0
"188","main",187,"yxuuh cnbc","T1T2",1,"left",15,"R","X",0,4,15,"I","Y",0,-10,0
"189","main",188,"yxuuh cnbc","T1T2",1,"left",17,"L","C",0,-10,17,"Q","D",0,-7,0
"190","main",189,"yxuuh cnbc","T1T2",1,"left",11,"U","U",1,0,11,"F","D",0,-3,0
"191","main",190,"yxuuh cnbc","T1",1,"left",9,"X","X",1,0,NA,"NaN","NaN",NA,NA,0
"192","main",191,"yxuuh cnbc","T1T2",1,"left",7,"G","C",0,-2,7,"U","Y",0,15,0
"193","main",192,"yxuuh cnbc","T1",1,"right",15,"C","C",1,0,NA,"NaN","NaN",NA,NA,0
"194","main",193,"yxuuh cnbc","T1T2",1,"left",15,"Z","Z",1,0,15,"F","Y",0,5,0
"195","main",194,"yxuuh cnbc","T1",1,"right",17,"I","M",0,1,NA,"NaN","NaN",NA,NA,0
"196","main",195,"yxuuh cnbc","T1",1,"right",15,"T","T",1,0,NA,"NaN","NaN",NA,NA,0
"197","main",196,"yxuuh cnbc","T1T2",1,"right",9,"A","J",0,6,9,"J","A",0,-9,0
"198","main",197,"yxuuh cnbc","T1",1,"right",9,"E","Y",0,-1,NA,"NaN","NaN",NA,NA,0
"199","main",198,"yxuuh cnbc","T1",1,"right",17,"G","C",0,-8,NA,"NaN","NaN",NA,NA,0
"200","main",199,"yxuuh cnbc","T1",1,"left",13,"E","A",0,1,NA,"NaN","NaN",NA,NA,0
"201","main",200,"yxuuh cnbc","T1",1,"left",9,"N","N",1,0,NA,"NaN","NaN",NA,NA,0
"202","main",201,"yxuuh cnbc","T1",1,"left",13,"Z","X",0,1,NA,"NaN","NaN",NA,NA,0
"203","main",202,"yxuuh cnbc","T1T2",1,"left",13,"Q","X",0,-9,13,"H","Z",0,-10,0
"204","main",203,"yxuuh cnbc","T1",1,"left",15,"W","W",1,0,NA,"NaN","NaN",NA,NA,0
"205","main",204,"yxuuh cnbc","T1T2",1,"left",11,"R","S",0,4,11,"S","R",0,-10,0
"206","main",205,"yxuuh cnbc","T1T2",1,"left",13,"I","Y",0,2,13,"Y","X",0,1,0
"207","main",206,"yxuuh cnbc","T1",1,"left",7,"G","J",0,9,NA,"NaN","NaN",NA,NA,0
